hrs,krate,name
24,0.205070843,Angel Mateo
24,0.370901639,Myles Naylor
24,0.266078184,Devin Saltiban
24,0.283710895,Xavier Batista
24,0.24516628,Gabriel Quintana
24,0.305156382,Chuckie Jones
24,0.322404372,Kristian Brito
24,0.222515391,Ariel Sandoval
24,0.284444444,Zac Shepherd
24,0.21656535,Daniel Montano
23,0.160700685,Mike Trout
23,0.208201893,Kaleb Cowart
23,0.270491803,Bubba Starling
23,0.158659218,David Dahl
23,0.198100407,Ronald Guzman
23,0.209713024,Anthony Santander
23,0.115254237,Manuel Margot
23,0.167149059,Miguel Andujar
23,0.216063348,Jacob Nottingham
23,0.203257329,Gleyber Torres
23,0.268211921,Brendon Davis
23,0.161698284,Josh Naylor
23,0.221617418,Taylor Trammell
23,0.261437908,Nolan Jones
23,0.217697729,Samad Taylor
23,0.282343988,Gabriel Arias
23,0.147859922,Jordan Diaz
23,0.147925436,Jose Tabata
23,0.213530655,Heriberto Hernandez
23,0.203539823,Jackson Holliday
23,0.185438706,Jefry Marte
23,0.249695493,Cameron Maybin
23,0.14612868,Austin Romine
23,0.218923933,Avisail Garcia
23,0.143006263,Travis d'Arnaud
23,0.201081081,Christian Vazquez
23,0.210877863,Jordan Schafer
23,0.275774505,Julio De La Cruz
23,0.248040572,Juan Garcia
23,0.285928144,Adinso Reyes
23,0.295063146,Maikol Escotto
23,0.233393178,Jairo Pomares
23,0.281144781,David Calabrese
23,0.260479042,Freili Encarnacion
23,0.157939189,Aron Estrada
23,0.218020022,Luke Adams
23,0.264767932,Luis Merejo
23,0.253731343,Javier Mogollon
23,0.179074447,Lisbel Diaz
23,0.167394469,Matthew Sweeney
23,0.356456777,Denny Almonte
23,0.245188881,Domnit Bolivar
23,0.238993711,Brandon Jacobs
23,0.177700348,Miles Head
23,0.195301028,Michaelangel Trinidad
23,0.228142077,Ramon Morla
23,0.235966736,Sean Coyle
23,0.227332457,Patrick Leonard
23,0.329223181,Yoel Araujo
23,0.196414653,Jomar Reyes
23,0.245657568,Seamus Curran
22,0.133454545,Carlos Perez
22,0.157437568,Manny Machado
22,0.205167173,Tyler Austin
22,0.197503671,Jorge Bonifacio
22,0.163934426,Gregory Polanco
22,0.107725789,Orlando Arcia
22,0.228776978,Greg Bird
22,0.261609907,Jon Edwards
22,0.233568075,Zach Green
22,0.184626437,Justin Williams
22,0.171929825,Rowdy Tellez
22,0.206208426,Shed Long Jr.
22,0.167169584,Andres Gimenez
22,0.177621283,Gavin Lux
22,0.198449612,Conner Capel
22,0.12890625,Juan Soto
22,0.147511848,Oswaldo Cabrera
22,0.17535545,Ryan Vilade
22,0.137351779,Luis Campusano
22,0.410480349,Sean Reynolds
22,0.167772512,Brayan Rocchio
22,0.206025267,Robert Hassell III
22,0.150528885,Cole Young
22,0.141666667,Eric Campbell
22,0.231750532,Luis Sumoza
22,0.235224586,Hector Martinez
22,0.231634679,Gabriel Rodriguez
22,0.192424242,Brainer Bonaci
22,0.227272727,Jose Ramos
22,0.428756477,Erick Pena
22,0.196864111,Carlos Jimenez
22,0.263803681,Aneudis Mordan
22,0.238390093,Anderson De Los Santos
22,0.246520875,Abimelec Ortiz
22,0.304347826,Kahlil Watson
22,0.152806653,Aroon Escobar
22,0.294651867,Mairoshendrick Martinus
22,0.178322959,Jesus Lopez
22,0.170144462,Jhonny Level
22,0.212606838,Justin Jacobs
22,0.243295019,Mike McDade
22,0.276816609,Michael Crouse
22,0.239669421,Alexis Espinoza
22,0.108108108,Roan Salas
22,0.205066345,Drew Vettleson
22,0.21996997,Jorge Martinez
22,0.277202073,Eric Arce
22,0.214778325,Jeffrey Baez
22,0.284382284,Josh Ockimey
22,0.320539419,Starling Joseph
22,0.258525853,Demi Orimoloye
22,0.28125,Kevin Maitan
21,0.219148936,Henry Ramos
21,0.266891892,Yadiel Rivera
21,0.199554069,Byron Buxton
21,0.158326497,Billy McKinney
21,0.134930643,Raudy Read
21,0.281210593,Alex Jackson
21,0.163505559,Willi Castro
21,0.194506726,Cristian Pache
21,0.174183515,Gilberto Celestino
21,0.226692836,Akil Baddoo
21,0.172475424,Angel Martinez
21,0.150964813,Jackson Merrill
21,0.278996865,Tommy Pham
21,0.241982507,Junior Lake
21,0.186175115,Brett Lawrie
21,0.124352332,Jose Altuve
21,0.195016251,Zoilo Almonte
21,0.234482759,Wilin Rosario
21,0.265461465,Justin Lopez
21,0.220286248,Ismael Alcantara
21,0.203675345,Jose Reyes
21,0.356840621,Ronny Rojas
21,0.275061125,Diowill Burgos
21,0.212121212,Bladimir Restituyo
21,0.263254113,Kristian Robinson
21,0.338340486,Alexander Ramirez
21,0.356282272,Rayner Santana
21,0.256869773,William Lugo
21,0.209832134,Junior Tilien
21,0.249786871,Brayan Hernandez
21,0.245652174,Omar Alfonzo
21,0.258012821,Jose Suarez
21,0.228832952,Miguel Bleis
21,0.329533679,Tyler Whitaker
21,0.270655271,Creed Willems
21,0.311212815,Ryan Spikes
21,0.388098318,Josi Novas
21,0.240430622,Cutter Coffey
21,0.18204804,Yoeilin Cespedes
21,0.226750261,Juan Flores
21,0.307692308,Blake Mitchell
21,0.210720887,Edward Florentino
21,0.21669627,Konnor Griffin
21,0.264758497,Kyler Burke
21,0.298084929,Balbino Fuenmayor
21,0.275045537,Chris Dennis
21,0.216135458,Karexon Sanchez
21,0.222087379,Michael Almanzar
21,0.307508939,James Robbins
21,0.174517375,Julio Cedeno
21,0.214480874,Dustin Geiger
21,0.247641509,Jacob Scavuzzo
21,0.282690854,Michael Gettys
21,0.141657922,Andretty Cordero
21,0.324324324,Corey Zangari
21,0.226683938,Gabriel Cancel
21,0.340869565,Brad Zunica
21,0.211624441,Rodolfo Duran
21,0.38962766,Henry Pujols
21,0.309608541,Joey Rose
20,0.260504202,Jonathan Villar
20,0.160098522,Ramon Flores
20,0.187254902,Carlos Rivero
20,0.173289183,Max Kepler
20,0.268343816,Jose Siri
20,0.206088993,Yusniel Diaz
20,0.261776062,Drew Waters
20,0.272097054,Ezequiel Duran
20,0.223700121,Liover Peguero
20,0.180981595,Darell Hernaiz
20,0.218848168,Alejandro Osuna
20,0.157239819,Sal Stewart
20,0.210670315,Thomas Neal
20,0.179487179,Francisco Hernandez
20,0.214114833,Koby Clemens
20,0.174629325,Pedro Ramirez
20,0.121089808,Jose Colmenares
20,0.288577154,Jesus Chirinos
20,0.251883746,Luis Toribio
20,0.371212121,Carlos Aguiar
20,0.219670494,Luis Garcia
20,0.155902004,Juan Guerrero
20,0.257104195,Juan Jerez
20,0.264678472,Stiven Acevedo
20,0.1890625,Miguel Palma
20,0.249382716,Junior Franco
20,0.256345178,Gavin Conticello
20,0.197640118,Samuel Munoz
20,0.242658423,Yordany De Los Santos
20,0.239376771,Johanfran Garcia
20,0.231729055,Esmith Pineda
20,0.172714078,Engelth Urena
20,0.17790132,Jansel Luis
20,0.263917526,Thomas Sosa
20,0.369047619,Erick Bautista
20,0.427922815,Elijah Green
20,0.129949805,Franklin Arias
20,0.189086294,Yassel Soler
20,0.172718351,Colt Emerson
20,0.261904762,Juan Araujo
20,0.145454545,J.P. Ramirez
20,0.127337489,Jae-Hoon Ha
20,0.252419355,Gustavo Pierre
20,0.283564815,Elvin Soto
20,0.168646081,Janelfry Zorrilla
20,0.246586345,Duanel Jones
20,0.171652422,Leo Castillo
20,0.22278481,Travis Harrison
20,0.286206897,Phillips Castillo
20,0.195372751,Samuel Hiciano
20,0.262396694,Ignacio Valdez
20,0.197508897,Tanner Rahier
20,0.229071537,Alfredo Escalera
20,0.248312078,Trey Michalczewski
20,0.195826645,Fernery Ozuna
20,0.24203273,Natanael Delgado
20,0.242693774,Wladimir Galindo
20,0.139212828,Manuel Melendez
20,0.301839465,Braxton Davidson
20,0.231674208,Jodd Carter
20,0.2700556,Romer Cuadrado
20,0.201780415,Andres Regnault
19,0.172279793,Christian Villanueva
19,0.139592341,Francisco Lindor
19,0.330769231,Michael Perez
19,0.126768868,Jorge Polanco
19,0.153996101,Yairo Munoz
19,0.140672783,Domingo Leyba
